t_ms,peak_value,baseline,height,width_ms,rise_slope,fall_slope,is_lens_like
2497.0,5.0,2.0,3.0,921.0,0.030927835051546393,-0.0036407766990291263,False
2502.0,5.0,2.0,3.0,921.0,0.029411764705882353,-0.003663003663003663,False
2509.0,5.0,2.0,3.0,921.0,0.027522935779816515,-0.003694581280788177,False
2513.0,5.0,2.0,3.0,921.0,0.02654867256637168,-0.0037128712871287127,False
2521.0,5.0,2.0,3.0,921.0,0.024793388429752067,-0.00375,False
2573.0,5.0,2.0,3.0,921.0,0.017341040462427744,-0.004010695187165776,False
2577.0,5.0,2.0,3.0,921.0,0.01694915254237288,-0.004032258064516129,False
2591.0,5.0,2.0,3.0,921.0,0.015706806282722512,-0.00410958904109589,False
2595.0,5.0,2.0,3.0,921.0,0.015384615384615385,-0.004132231404958678,False
2599.0,5.0,2.0,3.0,921.0,0.01507537688442211,-0.004155124653739612,False
2623.0,5.0,2.0,3.0,921.0,0.013452914798206279,-0.004297994269340974,False
2872.0,5.0,2.0,3.0,921.0,0.006355932203389831,-0.0066815144766146995,False
2887.0,5.0,2.0,3.0,921.0,0.006160164271047228,-0.0069124423963133645,False
2889.0,5.0,2.0,3.0,921.0,0.006134969325153374,-0.006944444444444444,False
2893.0,5.0,2.0,3.0,921.0,0.006085192697768763,-0.007009345794392523,False
2895.0,5.0,2.0,3.0,921.0,0.006060606060606061,-0.007042253521126761,False
2906.0,5.0,2.0,3.0,921.0,0.005928853754940711,-0.007228915662650603,False
2917.0,5.0,2.0,3.0,921.0,0.005802707930367505,-0.007425742574257425,False
2921.0,5.0,2.0,3.0,921.0,0.005758157389635317,-0.0075,False
2925.0,5.0,2.0,3.0,921.0,0.005714285714285714,-0.007575757575757576,False
2929.0,5.0,2.0,3.0,921.0,0.005671077504725898,-0.007653061224489796,False
2931.0,5.0,2.0,3.0,921.0,0.005649717514124294,-0.007692307692307693,False
2938.0,5.0,2.0,3.0,921.0,0.0055762081784386614,-0.007832898172323759,False
2953.0,5.0,2.0,3.0,921.0,0.0054249547920434,-0.008152173913043478,False
2971.0,5.0,2.0,3.0,921.0,0.005253940455341506,-0.008571428571428572,False
2985.0,5.0,2.0,3.0,921.0,0.005128205128205128,-0.008928571428571428,False
2988.0,5.0,2.0,3.0,921.0,0.00510204081632653,-0.009009009009009009,False
2995.0,5.0,2.0,3.0,921.0,0.005042016806722689,-0.009202453987730062,False
2999.0,5.0,2.0,3.0,921.0,0.005008347245409015,-0.009316770186335404,False
3001.0,5.0,2.0,3.0,921.0,0.004991680532445923,-0.009375,False
3006.0,5.0,2.0,3.0,921.0,0.0049504950495049506,-0.009523809523809525,False
3009.0,5.0,2.0,3.0,921.0,0.0049261083743842365,-0.009615384615384616,False
3011.0,5.0,2.0,3.0,921.0,0.004909983633387889,-0.00967741935483871,False
3016.0,5.0,2.0,3.0,921.0,0.00487012987012987,-0.009836065573770493,False
3019.0,5.0,2.0,3.0,921.0,0.004846526655896607,-0.009933774834437087,False
3022.0,5.0,2.0,3.0,921.0,0.00482315112540193,-0.010033444816053512,False
3026.0,5.0,2.0,3.0,921.0,0.004792332268370607,-0.010169491525423728,False
3032.0,5.0,2.0,3.0,921.0,0.004746835443037975,-0.010380622837370242,False
3036.0,5.0,2.0,3.0,921.0,0.0047169811320754715,-0.010526315789473684,False
3038.0,5.0,2.0,3.0,921.0,0.004702194357366771,-0.01060070671378092,False
3043.0,5.0,2.0,3.0,921.0,0.004665629860031105,-0.01079136690647482,False
3046.0,5.0,2.0,3.0,921.0,0.0046439628482972135,-0.01090909090909091,False
3050.0,5.0,2.0,3.0,921.0,0.004615384615384616,-0.01107011070110701,False
3054.0,5.0,2.0,3.0,921.0,0.0045871559633027525,-0.011235955056179775,False
3057.0,5.0,2.0,3.0,921.0,0.0045662100456621,-0.011363636363636364,False
3061.0,5.0,2.0,3.0,921.0,0.0045385779122541605,-0.011538461538461539,False
3065.0,5.0,2.0,3.0,921.0,0.004511278195488722,-0.01171875,False
3068.0,5.0,2.0,3.0,921.0,0.004491017964071856,-0.011857707509881422,False
3080.0,5.0,2.0,3.0,921.0,0.004411764705882353,-0.012448132780082987,False
3088.0,5.0,2.0,3.0,921.0,0.00436046511627907,-0.012875536480686695,False
3097.0,5.0,2.0,3.0,921.0,0.00430416068866571,-0.013392857142857142,False
3099.0,5.0,2.0,3.0,921.0,0.004291845493562232,-0.013513513513513514,False
3109.0,5.0,2.0,3.0,921.0,0.004231311706629055,-0.014150943396226415,False
3182.0,5.0,2.0,3.0,921.0,0.0038363171355498722,-0.02158273381294964,False
5992.0,5.0,2.0,3.0,579.0,0.03260869565217391,-0.006160164271047228,False
5995.0,5.0,2.0,3.0,579.0,0.031578947368421054,-0.006198347107438017,False
5998.0,5.0,2.0,3.0,579.0,0.030612244897959183,-0.006237006237006237,False
6002.0,5.0,2.0,3.0,579.0,0.029411764705882353,-0.006289308176100629,False
6006.0,5.0,2.0,3.0,579.0,0.02830188679245283,-0.006342494714587738,False
6014.0,5.0,2.0,3.0,579.0,0.02631578947368421,-0.0064516129032258064,False
6018.0,5.0,2.0,3.0,579.0,0.025423728813559324,-0.006507592190889371,False
6021.0,5.0,2.0,3.0,579.0,0.024793388429752067,-0.006550218340611353,False
6024.0,5.0,2.0,3.0,579.0,0.024193548387096774,-0.006593406593406593,False
6027.0,5.0,2.0,3.0,579.0,0.023622047244094488,-0.00663716814159292,False
6029.0,5.0,2.0,3.0,579.0,0.023255813953488372,-0.006666666666666667,False
