t_ms,peak_value,baseline,height,width_ms,rise_slope,fall_slope,is_lens_like
649.0,5.0,2.0,3.0,2958.0,0.05660377358490566,-0.0010327022375215145,False
655.0,5.0,2.0,3.0,2958.0,0.05084745762711865,-0.0010348395998620215,False
659.0,5.0,2.0,3.0,2958.0,0.047619047619047616,-0.0010362694300518134,False
662.0,5.0,2.0,3.0,2958.0,0.045454545454545456,-0.001037344398340249,False
697.0,6.0,3.0,3.0,2895.0,0.036585365853658534,-0.001066477070742979,False
702.0,6.0,3.0,3.0,2895.0,0.034482758620689655,-0.0010683760683760685,False
709.0,6.0,3.0,3.0,2895.0,0.031914893617021274,-0.0010710460549803642,False
714.0,6.0,3.0,3.0,2895.0,0.030303030303030304,-0.001072961373390558,False
716.0,6.0,3.0,3.0,2895.0,0.0297029702970297,-0.0010737294201861132,False
719.0,6.0,3.0,3.0,2895.0,0.028846153846153848,-0.0010748835542816195,False
721.0,6.0,3.0,3.0,2895.0,0.02830188679245283,-0.0010756543564001434,False
724.0,6.0,3.0,3.0,2895.0,0.027522935779816515,-0.0010768126346015793,False
727.0,6.0,3.0,3.0,2895.0,0.026785714285714284,-0.0010779734099892202,False
732.0,6.0,3.0,3.0,2895.0,0.02564102564102564,-0.0010799136069114472,False
827.0,7.0,3.0,4.0,2895.0,0.018867924528301886,-0.0014908684308609765,False
840.0,7.0,3.0,4.0,2895.0,0.017777777777777778,-0.00149812734082397,False
844.0,7.0,3.0,4.0,2895.0,0.017467248908296942,-0.0015003750937734434,False
866.0,7.0,3.0,4.0,2895.0,0.01593625498007968,-0.0015128593040847202,False
904.0,7.0,3.0,4.0,2895.0,0.01384083044982699,-0.0015349194167306216,False
913.0,7.0,3.0,4.0,2895.0,0.013422818791946308,-0.0015402387370042356,False
929.0,7.0,3.0,4.0,2895.0,0.012738853503184714,-0.0015497869043006587,False
941.0,7.0,3.0,4.0,2895.0,0.012269938650306749,-0.001557026080186843,False
947.0,7.0,3.0,4.0,2895.0,0.012048192771084338,-0.0015606710885680843,False
970.0,7.0,3.0,4.0,2895.0,0.011267605633802818,-0.0015748031496062992,False
996.0,7.0,3.0,4.0,2895.0,0.010498687664041995,-0.0015910898965791568,False
1032.0,7.0,3.0,4.0,2895.0,0.009592326139088728,-0.0016142050040355124,False
1039.0,7.0,3.0,4.0,2895.0,0.009433962264150943,-0.0016187778227438284,False
1047.0,7.0,3.0,4.0,2895.0,0.009259259259259259,-0.0016240357287860333,False
1049.0,7.0,3.0,4.0,2895.0,0.009216589861751152,-0.0016253555465258025,False
1051.0,7.0,3.0,4.0,2895.0,0.009174311926605505,-0.0016266775111834079,False
1060.0,7.0,3.0,4.0,2895.0,0.008988764044943821,-0.0016326530612244899,False
1070.0,7.0,3.0,4.0,2895.0,0.008791208791208791,-0.001639344262295082,False
1075.0,7.0,3.0,4.0,2895.0,0.008695652173913044,-0.0016427104722792608,False
1084.0,7.0,3.0,4.0,2895.0,0.008528784648187633,-0.0016488046166529267,False
1088.0,7.0,3.0,4.0,2895.0,0.008456659619450317,-0.0016515276630883566,False
1090.0,7.0,3.0,4.0,2895.0,0.008421052631578947,-0.001652892561983471,False
1094.0,7.0,3.0,4.0,2895.0,0.008350730688935281,-0.0016556291390728477,False
1097.0,7.0,3.0,4.0,2895.0,0.008298755186721992,-0.0016576875259013675,False
1101.0,7.0,3.0,4.0,2895.0,0.00823045267489712,-0.0016604400166044002,False
1105.0,7.0,3.0,4.0,2895.0,0.00816326530612245,-0.0016632016632016633,False
1111.0,7.0,3.0,4.0,2895.0,0.008064516129032258,-0.0016673614005835765,False
1115.0,7.0,3.0,4.0,2895.0,0.008,-0.0016701461377870565,False
1122.0,7.0,3.0,4.0,2895.0,0.007889546351084813,-0.0016750418760469012,False
1127.0,7.0,3.0,4.0,2895.0,0.0078125,-0.001678556441460344,False
1130.0,7.0,3.0,4.0,2895.0,0.007766990291262136,-0.0016806722689075631,False
1136.0,7.0,3.0,4.0,2895.0,0.007677543186180422,-0.0016849199663016006,False
1140.0,7.0,3.0,4.0,2895.0,0.007619047619047619,-0.0016877637130801688,False
1144.0,7.0,3.0,4.0,2895.0,0.007561436672967864,-0.0016906170752324597,False
1146.0,7.0,3.0,4.0,2895.0,0.007532956685499058,-0.001692047377326565,False
1149.0,7.0,3.0,4.0,2895.0,0.00749063670411985,-0.0016941973739940702,False
1157.0,7.0,3.0,4.0,2895.0,0.007380073800738007,-0.0016999575010624734,False
1160.0,7.0,3.0,4.0,2895.0,0.007339449541284404,-0.001702127659574468,False
1162.0,7.0,3.0,4.0,2895.0,0.007312614259597806,-0.0017035775127768314,False
1169.0,7.0,3.0,4.0,2895.0,0.007220216606498195,-0.0017086715079026058,False
1173.0,7.0,3.0,4.0,2895.0,0.007168458781362007,-0.0017115960633290544,False
1176.0,7.0,3.0,4.0,2895.0,0.0071301247771836,-0.001713796058269066,False
1179.0,7.0,3.0,4.0,2895.0,0.0070921985815602835,-0.001716001716001716,False
1181.0,7.0,3.0,4.0,2895.0,0.007067137809187279,-0.0017174753112924003,False
1182.0,7.0,3.0,4.0,2895.0,0.007054673721340388,-0.001718213058419244,False
1186.0,7.0,3.0,4.0,2895.0,0.0070052539404553416,-0.0017211703958691911,False
1189.0,7.0,3.0,4.0,2895.0,0.006968641114982578,-0.0017233950883239983,False
1193.0,7.0,3.0,4.0,2895.0,0.006920415224913495,-0.0017263703064307294,False
1198.0,7.0,3.0,4.0,2895.0,0.00686106346483705,-0.0017301038062283738,False
